# time(s),voltage(V),current(A)
0.000211,0.993865,-0.000000079
0.103128,0.994750,0.000002724
0.206009,0.995086,0.000004793
0.308960,0.994766,0.000004778
0.411870,0.995086,0.000004775
0.514930,0.995148,0.000004741
0.620104,0.994934,0.000004781
0.723864,0.995041,0.000004713
0.826889,0.995254,0.000004770
0.931235,0.995193,0.000004738
1.035883,0.995331,0.000004773
1.139747,0.995010,0.000004786
1.243819,0.994980,0.000004768
1.359431,0.995041,0.000004767
1.462809,0.994568,0.000004767
1.566502,0.994857,0.000004760
1.676888,0.995071,0.000004766
1.780356,0.995284,0.000004752
1.884527,0.994659,0.000004763
1.988543,0.994873,0.000004772
2.098680,0.994568,0.000004742
2.202175,0.994949,0.000004768
2.306175,0.995026,0.000004134
2.411890,0.995041,0.000004765
2.514683,0.995010,0.000004751
2.617770,0.994735,0.000004757
2.720988,0.995026,0.000004772
2.824951,0.995208,0.000004783
2.928797,0.995941,0.000004763
3.032742,0.994308,0.000004733
3.136610,0.995102,0.000004767
3.240386,0.994750,0.000004789
3.344250,0.995361,0.000004763
3.448189,0.995010,0.000004725
3.552179,0.994888,0.000004762
3.656095,0.995315,0.000004769
3.760053,0.994812,0.000004763
3.863959,0.995102,0.000004761
3.967816,0.995132,0.000004759
4.071998,0.994995,0.000004770
4.176347,0.994583,0.000004770
4.279442,0.994964,0.000004762
4.383670,0.994903,0.000004739
4.487358,0.994628,0.000004772
4.591183,0.995056,0.000004786
4.695061,0.994919,0.000004762
4.799149,0.994919,0.000004739
4.903101,0.994888,0.000004765
5.007031,0.994919,0.000004091
5.110865,0.994797,0.000004761
5.213976,0.995010,0.000004761
5.317863,0.995041,0.000004754
5.421803,0.994873,0.000004769
5.525820,0.994873,0.000004780
5.629553,0.994919,0.000004761
5.733473,0.994628,0.000004732
5.837399,0.994919,0.000004764
5.941288,0.994674,0.000004785
6.045172,0.994964,0.000004761
6.149101,0.994705,0.000004723
6.253407,0.994354,0.000004760
6.357157,0.994644,0.000004766
6.460867,0.994568,0.000004760
6.564774,0.995041,0.000004761
6.667608,0.994492,0.000004741
6.771690,0.994995,0.000004771
6.875666,0.994964,0.000004788
6.979933,0.994781,0.000004760
7.083611,0.994797,0.000004738
7.187501,0.994964,0.000004765
7.291584,0.994552,0.000004672
7.395283,0.994750,0.000004759
7.499393,0.994659,0.000004736
7.603172,0.994690,0.000004757
7.707297,0.994888,0.000004767
7.810975,0.994217,0.000004759
7.914651,0.994857,0.000004760
8.017899,0.994400,0.000004735
8.121724,0.994766,0.000004768
8.225606,0.994354,0.000004785
8.330149,0.994766,0.000004759
8.433619,0.994659,0.000004735
8.537493,0.994735,0.000004761
8.641448,0.994674,0.000004768
8.745382,0.994614,0.000004759
8.849412,0.994614,0.000004752
8.953416,0.994568,0.000004757
9.057358,0.994705,0.000004766
9.161126,0.994812,0.000004759
9.265191,0.994415,0.000004759
9.369419,0.994140,0.000004756
9.474409,0.994705,0.000004766
9.577891,0.994735,0.000004759
9.682125,0.994521,0.000004759
9.786026,0.994461,0.000004753
9.889819,0.994842,0.000004767
9.993805,0.994705,0.000004778
10.097762,0.994919,0.000004759
10.201638,0.994324,0.000004729
10.305671,0.994995,0.000004764
10.409785,0.994552,0.000004782
10.513519,0.994400,0.000004760
10.617480,0.994644,0.000004729
10.721262,0.994521,0.000004756
10.824178,0.994247,0.000004767
10.927244,0.994614,0.000004780
11.031326,0.994919,0.000004758
11.135101,0.994598,0.000004728
11.238981,0.994507,0.000004763
11.342794,0.994705,0.000004765
11.445770,0.994750,0.000004758
11.549716,0.994552,0.000004756
