# time(s),voltage(V),current(A)
0.001439,3.566323,0.000004606
0.106009,3.105165,0.000004607
0.209381,3.111711,0.000004608
0.310410,2.780224,0.000004610
0.414274,3.261997,0.000004609
0.518403,3.497444,0.000004607
0.622241,3.101624,0.000004609
0.726127,2.508262,0.000004611
0.830123,3.166735,0.000004609
0.933899,3.265858,0.000004609
1.034970,3.425879,0.000004608
1.138976,3.103364,0.000004608
1.242775,2.503791,0.000004608
1.346629,3.188709,0.000004605
1.450655,3.512032,0.000004605
1.554841,3.109148,0.000004607
1.658738,2.679392,0.000004610
1.762722,3.161989,0.000004609
1.866617,3.683940,0.000004608
1.970585,3.098482,0.000004608
2.074907,2.625726,0.000004608
2.178605,3.085634,0.000004606
2.282288,3.222263,0.000004608
2.386607,3.107942,0.000004608
2.490588,3.075425,0.000004608
2.594645,3.043747,0.000004606
2.698436,3.237979,0.000004608
2.802242,3.121110,0.000004608
2.906396,3.106340,0.000004609
3.010859,3.058396,0.000004609
3.116129,3.266941,0.000004607
3.222102,3.108964,0.000004608
3.326007,2.605569,0.000004610
3.431305,3.238498,0.000004609
3.537959,3.107851,0.000004610
3.643889,3.027374,0.000004610
3.748111,3.242054,0.000004609
3.851579,3.257633,0.000004609
3.955676,3.118822,0.000004609
4.059634,2.768063,0.000004610
4.164033,3.273625,0.000004609
4.267565,3.577814,0.000004608
4.371554,3.101716,0.000004609
4.475576,2.492058,0.000004611
4.579491,3.185824,0.000004609
4.683183,3.503670,0.000004608
4.787001,3.566384,0.000004608
4.887743,3.107026,0.000004610
4.990969,2.184787,0.000004614
5.094689,3.099916,0.000004611
5.198941,3.220004,0.000004610
5.302635,3.515053,0.000004609
5.403462,3.112672,0.000004610
5.506600,3.060838,0.000004610
5.610615,3.049820,0.000004610
5.714332,3.240238,0.000004610
5.818408,3.128984,0.000004609
5.922587,3.116334,0.000004610
6.026135,2.844877,0.000004610
6.129972,3.050828,0.000004610
6.230988,3.101930,0.000004610
6.333406,3.500710,0.000004609
6.436959,3.108125,0.000004610
6.540968,2.496086,0.000004613
6.644810,3.131823,0.000004610
6.748966,3.238193,0.000004610
6.852700,3.104906,0.000004610
6.957024,2.920103,0.000004610
7.061954,3.158388,0.000004610
7.165892,3.687373,0.000004609
7.269987,3.099153,0.000004610
7.373629,2.687937,0.000004610
7.478025,3.176608,0.000004609
7.582892,3.561776,0.000004608
7.686419,3.103044,0.000004610
7.790368,2.240604,0.000004613
7.895223,2.755902,0.000004611
7.997404,3.235447,0.000004609
8.101969,3.130312,0.000004610
8.205171,3.111985,0.000004610
8.312884,3.202304,0.000004610
8.416168,3.529946,0.000004610
8.520198,3.110612,0.000004610
8.623865,2.654703,0.000004613
8.727988,3.156664,0.000004610
8.832126,3.291630,0.000004610
8.935730,3.102586,0.000004610
9.040022,2.689555,0.000004612
9.143928,3.072404,0.000004610
9.247874,3.229938,0.000004610
9.351526,3.107301,0.000004611
9.455652,3.092362,0.000004610
9.559690,3.042298,0.000004611
9.663744,3.245334,0.000004611
9.767581,3.198565,0.000004611
9.871606,3.115495,0.000004611
9.975651,2.819943,0.000004613
10.079718,3.271915,0.000004610
10.183563,3.536736,0.000004610
10.287451,3.106599,0.000004611
10.391739,2.487709,0.000004613
10.495130,3.176486,0.000004610
10.599123,3.509758,0.000004610
10.703279,3.112550,0.000004610
10.807082,2.559884,0.000004613
10.910903,3.142549,0.000004610
11.014982,3.438453,0.000004610
11.119042,3.103303,0.000004611
11.223124,2.788845,0.000004612
11.326960,3.073670,0.000004611
11.431280,3.231448,0.000004610
11.534702,3.728389,0.000004609
11.635342,3.104433,0.000004611
11.738451,3.119707,0.000004611
11.841308,2.657618,0.000004612
11.945897,3.289310,0.000004611
12.049736,3.617105,0.000004611
12.153706,3.112871,0.000004610
12.257421,2.668009,0.000004612
12.361119,3.086183,0.000004610
12.464422,3.223392,0.000004610
12.568347,3.107789,0.000004611
12.672222,3.074967,0.000004611
12.776226,3.039170,0.000004611
12.880155,3.242191,0.000004610
12.984212,3.146852,0.000004611
13.088220,3.115541,0.000004611
13.191881,2.880125,0.000004611
13.295859,3.253177,0.000004610
13.399658,3.516426,0.000004610
13.504000,3.102220,0.000004611
13.607564,3.113115,0.000004611
