# time(s),voltage(V),current(A),cycle_num,exp_num,voltage_applied(V)
0.000000,0.479179,-0.000002175,0,0,-0.211033
2500.152040,-0.215625,0.000001807,0,0,-0.211433
5000.304081,-0.215076,0.000000717,0,0,-0.211834
7500.456121,-0.215473,-0.000000152,0,0,-0.212235
10000.608162,-0.217228,-0.000000576,0,0,-0.212636
12500.760202,-0.218052,0.000004014,0,0,-0.213037
15000.912242,-0.217685,0.000000504,0,0,-0.213437
17501.064283,-0.217777,0.000001245,0,0,-0.213838
20001.216323,-0.217670,-0.000000668,0,0,-0.214239
22501.368363,-0.217655,-0.000000163,0,0,-0.214640
25001.520404,-0.219455,0.000000433,0,0,-0.215041
27501.672444,-0.220707,0.000004781,0,0,-0.215441
30001.824485,-0.220035,-0.000002517,0,0,-0.215842
32501.976525,-0.220035,-0.000004658,0,0,-0.216243
35002.128565,-0.220493,0.000005000,0,0,-0.216644
37502.280606,-0.220844,0.000004782,0,0,-0.217044
40002.432646,-0.222278,-0.000001237,0,0,-0.217445
42502.584686,-0.222355,-0.000004092,0,0,-0.217846
45002.736727,-0.222919,0.000005000,0,0,-0.218247
47502.888767,-0.223347,0.000004783,0,0,-0.218648
50003.040808,-0.222537,-0.000000577,0,0,-0.219048
52503.192848,-0.222690,-0.000000573,0,0,-0.219449
55003.344888,-0.225452,0.000001613,0,0,-0.219850
57503.496929,-0.225819,0.000003936,0,0,-0.220251
60003.648969,-0.225635,-0.000000223,0,0,-0.220652
62503.801010,-0.225544,-0.000000105,0,0,-0.221052
65003.953050,-0.225727,0.000002882,0,0,-0.221453
67504.105090,-0.225025,0.000000712,0,0,-0.221854
70004.257131,-0.227466,-0.000000430,0,0,-0.222255
72504.409171,-0.227436,-0.000000392,0,0,-0.222655
75004.561211,-0.228382,0.000004210,0,0,-0.223056
77504.713252,-0.227512,0.000000412,0,0,-0.223457
80004.865292,-0.227543,0.000001288,0,0,-0.223858
82505.017333,-0.227375,-0.000000641,0,0,-0.224259
85005.169373,-0.227390,0.000000172,0,0,-0.224659
87505.321413,-0.229267,0.000000383,0,0,-0.225060
90005.473454,-0.230121,0.000004755,0,0,-0.225461
92505.625494,-0.229939,-0.000002579,0,0,-0.225862
95005.777535,-0.229511,-0.000004567,0,0,-0.226263
97505.929575,-0.230472,0.000005000,0,0,-0.226663
100006.081615,-0.230503,0.000004752,0,0,-0.227064
102506.233656,-0.232075,-0.000001255,0,0,-0.227465
105006.385696,-0.232288,-0.000004164,0,0,-0.227866
107506.537736,-0.232654,0.000005000,0,0,-0.228266
110006.689777,-0.233112,0.000004782,0,0,-0.228667
112506.841817,-0.232639,-0.000000568,0,0,-0.229068
115006.993858,-0.232334,-0.000000535,0,0,-0.229469
117507.145898,-0.235249,0.000001554,0,0,-0.229870
120007.297938,-0.235371,0.000003666,0,0,-0.230270
122507.449979,-0.235630,-0.000000343,0,0,-0.230671
125007.602019,-0.235081,-0.000000135,0,0,-0.231072
127507.754059,-0.235828,0.000002934,0,0,-0.231473
130007.906100,-0.235035,0.000000695,0,0,-0.231874
132508.058140,-0.237690,-0.000000654,0,0,-0.232274
135008.210181,-0.237736,-0.000000382,0,0,-0.232675
137508.362221,-0.238102,0.000004444,0,0,-0.233076
140008.514261,-0.237720,0.000000312,0,0,-0.233477
142508.666302,-0.238117,0.000000735,0,0,-0.233878
145008.818342,-0.237659,-0.000000663,0,0,-0.234278
147508.970383,-0.239887,-0.000000360,0,0,-0.234679
150009.122423,-0.239750,0.000000405,0,0,-0.235080
152509.274463,-0.240513,0.000004744,0,0,-0.235481
155009.426504,-0.240223,-0.000002596,0,0,-0.235881
157509.578544,-0.239918,-0.000004679,0,0,-0.236282
160009.730584,-0.240772,0.000005000,0,0,-0.236683
162509.882625,-0.242634,0.000004744,0,0,-0.237084
165010.034665,-0.242344,-0.000001311,0,0,-0.237485
167510.186706,-0.242374,-0.000004146,0,0,-0.237885
170010.338746,-0.242909,0.000005000,0,0,-0.238286
172510.490786,-0.243107,0.000004779,0,0,-0.238687
175010.642827,-0.242573,-0.000000647,0,0,-0.239088
177510.794867,-0.244602,-0.000000386,0,0,-0.239489
180010.946907,-0.246128,0.000001610,0,0,-0.239889
182511.098948,-0.245884,0.000003573,0,0,-0.240290
185011.250988,-0.245319,-0.000000471,0,0,-0.240691
187511.403029,-0.245365,-0.000000119,0,0,-0.241092
190011.555069,-0.245930,0.000002972,0,0,-0.241492
192511.707109,-0.246845,0.000000601,0,0,-0.241893
195011.859150,-0.247852,-0.000000783,0,0,-0.242294
197512.011190,-0.247486,-0.000000405,0,0,-0.242695
200012.163231,-0.247913,0.000004236,0,0,-0.243096
202512.315271,-0.247288,0.000000297,0,0,-0.243496
205012.467311,-0.247486,0.000001993,0,0,-0.243897
207512.619352,-0.249287,-0.000000839,0,0,-0.244298
210012.771392,-0.249958,-0.000000200,0,0,-0.244699
212512.923432,-0.249623,0.000000412,0,0,-0.245100
215013.075473,-0.250324,0.000004753,0,0,-0.245500
217513.227513,-0.249577,-0.000002674,0,0,-0.245901
220013.379554,-0.249561,-0.000004696,0,0,-0.246302
222513.531594,-0.252644,0.000005000,0,0,-0.246703
225013.683634,-0.252689,0.000004774,0,0,-0.247103
227513.835675,-0.252186,-0.000001373,0,0,-0.247504
230013.987715,-0.252278,-0.000004183,0,0,-0.247905
232514.139756,-0.252506,0.000005000,0,0,-0.248306
235014.291796,-0.252781,0.000004776,0,0,-0.248707
237514.443836,-0.254673,-0.000000738,0,0,-0.249107
240014.595877,-0.255299,-0.000000221,0,0,-0.249508
242514.747917,-0.255574,0.000001649,0,0,-0.249909
245014.899957,-0.255681,0.000003213,0,0,-0.250310
247515.051998,-0.255146,-0.000000568,0,0,-0.250711
250015.204038,-0.255497,-0.000000091,0,0,-0.251111
252515.356079,-0.255833,0.000003152,0,0,-0.251512
255015.508119,-0.257084,0.000000601,0,0,-0.251913
257515.660159,-0.257740,-0.000000857,0,0,-0.252314
260015.812200,-0.257283,-0.000000407,0,0,-0.252714
262515.964240,-0.258030,0.000004356,0,0,-0.253115
265016.116280,-0.257451,0.000000279,0,0,-0.253516
267516.268321,-0.257801,0.000001926,0,0,-0.253917
270016.420361,-0.259861,-0.000000889,0,0,-0.254318
272516.572402,-0.259693,-0.000000220,0,0,-0.254718
275016.724442,-0.259663,0.000000457,0,0,-0.255119
